9730.0 - 432       -1.0224 - 432
9730.0 - 433       0.0 - 433
9730.0 - 434       -1.071 - 434
9730.0 - 435       -1.1188 - 435
9730.0 - 436       -1.1679 - 436
9730.0 - 437       -1.9428 - 437
9730.0 - 438       -1.2629 - 438
9730.0 - 439       -1.2151 - 439
9730.0 - 440       -1.0674 - 440
9730.0 - 441       -1.9428 - 441
9730.0 - 442       -1.1659 - 442
9730.0 - 443       -1.9428 - 443
9730.0 - 444       -1.0684 - 444
9730.0 - 445       -1.0689 - 445
9730.0 - 446       -1.0702 - 446
9730.0 - 447       -1.0703 - 447
9730.0 - 448       -1.0215 - 448
9730.0 - 449       0.0 - 449
9730.0 - 450       -1.0199 - 450
9730.0 - 451       -1.2625 - 451
9730.0 - 452       -1.0697 - 452
9730.0 - 453       0.0 - 453
9730.0 - 454       -1.1197 - 454
9730.0 - 455       -1.2645 - 455
9730.0 - 456       0.0 - 456
9730.0 - 457       -1.0224 - 457
9730.0 - 458       0.0 - 458
9730.0 - 459       -1.1154 - 459
9730.0 - 460       -1.0197 - 460
9730.0 - 461       -1.9428 - 461
9730.0 - 462       -1.9428 - 462
9730.0 - 463       -1.0209 - 463
9730.0 - 464       -1.0709 - 464
9730.0 - 465       2402.0 - 465
9730.0 - 466       -1.9428 - 466
9730.0 - 467       -1.0224 - 467
9730.0 - 468       0.0 - 468
9730.0 - 469       -1.071 - 469
9730.0 - 470       -1.071 - 470
9730.0 - 471       -1.2616 - 471
9730.0 - 472       -1.071 - 472
9730.0 - 473       0.0 - 473
9730.0 - 474       -1.9428 - 474
9730.0 - 475       0.0 - 475
9730.0 - 476       -1.9428 - 476
9730.0 - 477       -1.0228 - 477
9730.0 - 478       -1.1207 - 478
9730.0 - 479       -1.0202 - 479
9730.0 - 480       -1.0669 - 480
9730.0 - 481       -1.1685 - 481
9730.0 - 482       0.0 - 482
9730.0 - 483       -1.0218 - 483
9730.0 - 484       -1.168 - 484
9730.0 - 485       -1.1696 - 485
9730.0 - 486       -1.0699 - 486
9730.0 - 487       -1.3152 - 487
9730.0 - 488       0.0 - 488
9730.0 - 489       -1.9428 - 489
9730.0 - 490       -1.9428 - 490
9730.0 - 491       -1.9428 - 491
9730.0 - 492       -1.0693 - 492
9730.0 - 493       -1.0697 - 493
9730.0 - 494       0.0 - 494
9730.0 - 495       -1.1157 - 495
9730.0 - 496       -1.019 - 496
9730.0 - 497       -1.0679 - 497
9730.0 - 498       -1.1216 - 498
9730.0 - 499       -1.0698 - 499
9730.0 - 500       -1.1196 - 500
9730.0 - 501       -1.1187 - 501
9730.0 - 502       -1.0698 - 502
9730.0 - 503       -1.1192 - 503
9730.0 - 504       -1.069 - 504
9730.0 - 505       -1.0221 - 505
9730.0 - 506       -1.1198 - 506
9730.0 - 507       -1.1667 - 507
9730.0 - 508       0.0 - 508
9730.0 - 509       -1.9428 - 509
9730.0 - 510       -1.0242 - 510
9730.0 - 511       -1.071 - 511
9730.0 - 512       -1.0207 - 512
9730.0 - 513       -1.12 - 513
9730.0 - 514       -1.0195 - 514
9730.0 - 515       -1.1182 - 515
9730.0 - 516       0.0 - 516
9730.0 - 517       -1.1184 - 517
9730.0 - 518       -1.2158 - 518
9730.0 - 519       -1.2661 - 519
9730.0 - 520       -1.0215 - 520
9730.0 - 521       -1.1206 - 521
9730.0 - 522       -1.2146 - 522
9730.0 - 523       -1.2652 - 523
9730.0 - 524       0.0 - 524
9730.0 - 525       -1.0225 - 525
9730.0 - 526       -1.1656 - 526
9730.0 - 527       -1.0659 - 527
9730.0 - 528       -1.1193 - 528
9730.0 - 529       -1.0675 - 529
9730.0 - 530       -1.2159 - 530
9730.0 - 531       -1.1164 - 531
9730.0 - 532       -1.1671 - 532
9730.0 - 533       -1.071 - 533
9730.0 - 534       -1.0703 - 534
9730.0 - 535       -1.0722 - 535
9730.0 - 536       0.0 - 536
9730.0 - 537       -1.2142 - 537
9730.0 - 538       -1.017 - 538
9730.0 - 539       -1.0717 - 539
9730.0 - 540       -1.071 - 540
9730.0 - 541       0.0 - 541
9730.0 - 542       -1.0703 - 542
9730.0 - 543       -1.216 - 543
9730.0 - 544       0.0 - 544
9730.0 - 545       -1.9428 - 545
9730.0 - 546       -1.0208 - 546
9730.0 - 547       -1.9428 - 547
9730.0 - 548       -1.9428 - 548
9730.0 - 549       0.0 - 549
9730.0 - 550       -1.0227 - 550
9730.0 - 551       -1.2166 - 551
9730.0 - 552       -1.1657 - 552
9730.0 - 553       -1.0679 - 553
9730.0 - 554       -1.0221 - 554
9730.0 - 555       -1.1149 - 555
9730.0 - 556       -1.1193 - 556
9730.0 - 557       -1.1163 - 557
9730.0 - 558       0.0 - 558
9730.0 - 559       -1.0222 - 559
9730.0 - 560       -1.1683 - 560
9730.0 - 561       0.0 - 561
9730.0 - 562       -1.164 - 562
9730.0 - 563       0.0 - 563
9730.0 - 564       -1.8942 - 564
9730.0 - 565       -1.167 - 565
9730.0 - 566       0.0 - 566
9730.0 - 567       -1.1659 - 567
