130 - 659       36 - 659
130 - 660       12 - 660
130 - 661       -1 - 661
130 - 662       24 - 662
130 - 663       61 - 663
130 - 664       49 - 664
130 - 665       12 - 665
130 - 666       -1 - 666
130 - 667       33 - 667
130 - 668       0 - 668
130 - 669       12 - 669
130 - 670       24 - 670
130 - 671       12 - 671
130 - 672       48 - 672
130 - 673       -1 - 673
130 - 674       33 - 674
130 - 675       45 - 675
130 - 676       24 - 676
130 - 677       24 - 677
130 - 678       37 - 678
130 - 679       69 - 679
130 - 680       -1 - 680
130 - 681       33 - 681
130 - 682       69 - 682
130 - 683       0 - 683
130 - 684       33 - 684
130 - 685       37 - 685
130 - 686       45 - 686
130 - 687       12 - 687
130 - 688       33 - 688
130 - 689       0 - 689
130 - 690       69 - 690
130 - 691       81 - 691
130 - 692       24 - 692
130 - 693       -1 - 693
130 - 694       -1 - 694
130 - 695       36 - 695
130 - 696       -1 - 696
130 - 697       0 - 697
130 - 698       24 - 698
130 - 699       60 - 699
130 - 700       36 - 700
130 - 701       -1 - 701
130 - 702       33 - 702
130 - 703       37 - 703
130 - 704       37 - 704
130 - 705       12 - 705
118 - 706       -1 - 706
130 - 707       45 - 707
130 - 708       24 - 708
130 - 709       36 - 709
130 - 710       45 - 710
130 - 711       45 - 711
130 - 712       60 - 712
130 - 713       0 - 713
130 - 714       36 - 714
130 - 715       49 - 715
130 - 716       -1 - 716
130 - 717       45 - 717
130 - 718       12 - 718
130 - 719       36 - 719
130 - 720       48 - 720
130 - 721       0 - 721
130 - 722       -1 - 722
130 - 723       69 - 723
130 - 724       0 - 724
130 - 725       -1 - 725
130 - 726       0 - 726
130 - 727       -1 - 727
130 - 728       12 - 728
130 - 729       48 - 729
130 - 730       36 - 730
130 - 731       48 - 731
130 - 732       0 - 732
130 - 733       -1 - 733
130 - 734       36 - 734
130 - 735       -1 - 735
130 - 736       12 - 736
130 - 737       45 - 737
130 - 738       45 - 738
130 - 739       36 - 739
130 - 740       0 - 740
130 - 741       -1 - 741
130 - 742       33 - 742
130 - 743       36 - 743
130 - 744       36 - 744
130 - 745       36 - 745
130 - 746       69 - 746
130 - 747       45 - 747
130 - 748       33 - 748
130 - 749       -1 - 749
130 - 750       45 - 750
130 - 751       24 - 751
130 - 752       69 - 752
130 - 753       12 - 753
130 - 754       12 - 754
130 - 755       -1 - 755
130 - 756       33 - 756
130 - 757       0 - 757
130 - 758       70 - 758
130 - 759       0 - 759
130 - 760       12 - 760
130 - 761       12 - 761
130 - 762       0 - 762
130 - 763       33 - 763
130 - 764       -1 - 764
130 - 765       36 - 765
130 - 766       36 - 766
130 - 767       70 - 767
130 - 768       -1 - 768
130 - 769       48 - 769
130 - 770       36 - 770
130 - 771       -1 - 771
130 - 772       36 - 772
130 - 773       -1 - 773
130 - 774       36 - 774
130 - 775       49 - 775
130 - 776       36 - 776
130 - 777       36 - 777
130 - 778       61 - 778
130 - 779       69 - 779
130 - 780       -1 - 780
130 - 781       33 - 781
130 - 782       12 - 782
130 - 783       60 - 783
130 - 784       24 - 784
130 - 785       37 - 785
130 - 786       49 - 786
130 - 787       33 - 787
