118 - 671       45 - 671
130 - 672       49 - 672
130 - 673       12 - 673
118 - 674       45 - 674
94 - 675       0 - 675
118 - 676       45 - 676
118 - 677       57 - 677
130 - 678       60 - 678
118 - 679       24 - 679
130 - 680       37 - 680
106 - 681       12 - 681
106 - 682       12 - 682
118 - 683       48 - 683
94 - 684       33 - 684
109 - 685       48 - 685
106 - 686       49 - 686
130 - 687       45 - 687
118 - 688       33 - 688
130 - 689       24 - 689
118 - 690       61 - 690
106 - 691       0 - 691
106 - 692       0 - 692
106 - 693       12 - 693
94 - 694       0 - 694
118 - 695       12 - 695
106 - 696       12 - 696
130 - 697       24 - 697
130 - 698       33 - 698
109 - 699       24 - 699
109 - 700       0 - 700
130 - 701       69 - 701
81 - 702       12 - 702
109 - 703       0 - 703
73 - 704       12 - 704
130 - 705       0 - 705
93 - 706       33 - 706
106 - 707       48 - 707
82 - 708       33 - 708
130 - 709       36 - 709
130 - 710       12 - 710
106 - 711       24 - 711
130 - 712       36 - 712
106 - 713       36 - 713
118 - 714       49 - 714
118 - 715       45 - 715
118 - 716       37 - 716
118 - 717       57 - 717
109 - 718       0 - 718
118 - 719       12 - 719
118 - 720       37 - 720
109 - 721       0 - 721
130 - 722       12 - 722
109 - 723       57 - 723
130 - 724       37 - 724
109 - 725       36 - 725
118 - 726       0 - 726
94 - 727       0 - 727
130 - 728       0 - 728
93 - 729       12 - 729
130 - 730       24 - 730
130 - 731       12 - 731
118 - 732       36 - 732
106 - 733       33 - 733
118 - 734       0 - 734
118 - 735       60 - 735
130 - 736       45 - 736
130 - 737       69 - 737
118 - 738       57 - 738
81 - 739       24 - 739
106 - 740       0 - 740
118 - 741       0 - 741
130 - 742       69 - 742
93 - 743       0 - 743
109 - 744       48 - 744
118 - 745       12 - 745
130 - 746       12 - 746
130 - 747       36 - 747
130 - 748       0 - 748
130 - 749       61 - 749
130 - 750       0 - 750
130 - 751       49 - 751
85 - 752       12 - 752
130 - 753       0 - 753
97 - 754       36 - 754
130 - 755       48 - 755
109 - 756       33 - 756
109 - 757       33 - 757
118 - 758       0 - 758
85 - 759       0 - 759
93 - 760       0 - 760
109 - 761       37 - 761
72 - 762       33 - 762
118 - 763       24 - 763
130 - 764       48 - 764
118 - 765       0 - 765
118 - 766       12 - 766
130 - 767       48 - 767
130 - 768       24 - 768
118 - 769       24 - 769
94 - 770       0 - 770
106 - 771       70 - 771
109 - 772       36 - 772
82 - 773       0 - 773
118 - 774       0 - 774
97 - 775       12 - 775
130 - 776       37 - 776
130 - 777       0 - 777
118 - 778       24 - 778
106 - 779       12 - 779
118 - 780       12 - 780
109 - 781       0 - 781
94 - 782       0 - 782
106 - 783       0 - 783
130 - 784       0 - 784
97 - 785       0 - 785
106 - 786       37 - 786
130 - 787       45 - 787
118 - 788       33 - 788
130 - 789       24 - 789
93 - 790       33 - 790
118 - 791       24 - 791
109 - 792       24 - 792
118 - 793       36 - 793
109 - 794       36 - 794
118 - 795       36 - 795
106 - 796       0 - 796
97 - 797       0 - 797
130 - 798       0 - 798
118 - 799       70 - 799
109 - 800       36 - 800
118 - 801       24 - 801
118 - 802       61 - 802
109 - 803       24 - 803
118 - 804       57 - 804
118 - 805       0 - 805
130 - 806       24 - 806
106 - 807       12 - 807
97 - 808       57 - 808
72 - 809       0 - 809
106 - 810       69 - 810
118 - 811       48 - 811
118 - 812       36 - 812
109 - 813       24 - 813
130 - 814       12 - 814
118 - 815       73 - 815
130 - 816       37 - 816
106 - 817       60 - 817
97 - 818       49 - 818
118 - 819       36 - 819
109 - 820       0 - 820
130 - 821       69 - 821
106 - 822       72 - 822
118 - 823       37 - 823
106 - 824       0 - 824
118 - 825       36 - 825
106 - 826       0 - 826
130 - 827       24 - 827
97 - 828       0 - 828
130 - 829       93 - 829
118 - 830       12 - 830
130 - 831       49 - 831
109 - 832       36 - 832
130 - 833       24 - 833
97 - 834       37 - 834
118 - 835       24 - 835
130 - 836       36 - 836
130 - 837       73 - 837
118 - 838       24 - 838
109 - 839       12 - 839
94 - 840       12 - 840
109 - 841       33 - 841
118 - 842       37 - 842
130 - 843       33 - 843
106 - 844       0 - 844
106 - 845       0 - 845
109 - 846       0 - 846
97 - 847       33 - 847
118 - 848       48 - 848
130 - 849       48 - 849
109 - 850       0 - 850
94 - 851       45 - 851
118 - 852       70 - 852
97 - 853       0 - 853
106 - 854       24 - 854
130 - 855       60 - 855
81 - 856       61 - 856
130 - 857       36 - 857
109 - 858       49 - 858
109 - 859       37 - 859
118 - 860       61 - 860
130 - 861       37 - 861
109 - 862       0 - 862
106 - 863       48 - 863
118 - 864       61 - 864
118 - 865       12 - 865
106 - 866       12 - 866
118 - 867       48 - 867
109 - 868       0 - 868
118 - 869       85 - 869
118 - 870       57 - 870
118 - 871       0 - 871
109 - 872       12 - 872
130 - 873       36 - 873
130 - 874       49 - 874
130 - 875       0 - 875
130 - 876       33 - 876
118 - 877       12 - 877
118 - 878       12 - 878
130 - 879       24 - 879
118 - 880       12 - 880
118 - 881       36 - 881
93 - 882       33 - 882
85 - 883       0 - 883
118 - 884       33 - 884
118 - 885       0 - 885
109 - 886       0 - 886
130 - 887       33 - 887
118 - 888       0 - 888
93 - 889       12 - 889
118 - 890       0 - 890
109 - 891       33 - 891
130 - 892       36 - 892
130 - 893       45 - 893
70 - 894       12 - 894
118 - 895       49 - 895
106 - 896       0 - 896
130 - 897       33 - 897
93 - 898       0 - 898
118 - 899       24 - 899
118 - 900       36 - 900
118 - 901       12 - 901
118 - 902       12 - 902
109 - 903       37 - 903
118 - 904       33 - 904
130 - 905       48 - 905
106 - 906       60 - 906
109 - 907       12 - 907
130 - 908       48 - 908
106 - 909       33 - 909
94 - 910       0 - 910
109 - 911       48 - 911
93 - 912       33 - 912
130 - 913       0 - 913
106 - 914       12 - 914
106 - 915       36 - 915
106 - 916       0 - 916
106 - 917       33 - 917
97 - 918       24 - 918
106 - 919       37 - 919
130 - 920       57 - 920
93 - 921       12 - 921
130 - 922       12 - 922
130 - 923       24 - 923
118 - 924       73 - 924
109 - 925       49 - 925
118 - 926       24 - 926
130 - 927       33 - 927
97 - 928       0 - 928
82 - 929       0 - 929
106 - 930       36 - 930
109 - 931       24 - 931
118 - 932       36 - 932
130 - 933       0 - 933
106 - 934       45 - 934
130 - 935       33 - 935
130 - 936       0 - 936
97 - 937       24 - 937
130 - 938       33 - 938
106 - 939       33 - 939
130 - 940       48 - 940
118 - 941       33 - 941
97 - 942       0 - 942
130 - 943       57 - 943
118 - 944       36 - 944
130 - 945       69 - 945
109 - 946       0 - 946
93 - 947       12 - 947
118 - 948       0 - 948
130 - 949       49 - 949
130 - 950       48 - 950
130 - 951       72 - 951
130 - 952       36 - 952
130 - 953       24 - 953
109 - 954       37 - 954
97 - 955       0 - 955
130 - 956       69 - 956
118 - 957       12 - 957
130 - 958       36 - 958
118 - 959       49 - 959
118 - 960       12 - 960
118 - 961       12 - 961
85 - 962       0 - 962
106 - 963       24 - 963
109 - 964       12 - 964
109 - 965       36 - 965
130 - 966       49 - 966
118 - 967       0 - 967
130 - 968       45 - 968
106 - 969       24 - 969
130 - 970       0 - 970
118 - 971       36 - 971
109 - 972       36 - 972
109 - 973       12 - 973
106 - 974       0 - 974
118 - 975       12 - 975
97 - 976       48 - 976
118 - 977       49 - 977
130 - 978       36 - 978
106 - 979       36 - 979
130 - 980       48 - 980
109 - 981       36 - 981
109 - 982       12 - 982
118 - 983       57 - 983
118 - 984       36 - 984
109 - 985       36 - 985
109 - 986       33 - 986
106 - 987       12 - 987
106 - 988       12 - 988
118 - 989       37 - 989
130 - 990       12 - 990
94 - 991       24 - 991
130 - 992       61 - 992
109 - 993       0 - 993
118 - 994       0 - 994
130 - 995       24 - 995
109 - 996       49 - 996
130 - 997       0 - 997
106 - 998       24 - 998
130 - 999       57 - 999
130 - 1000       0 - 1000
